"REF_DATE","GEO","National Occupational Classification","Statistics","VALUE"
"2015","Ontario","Software engineers and designers","Job vacancies","80"
"2015","Ontario","Software engineers and designers","Job vacancies","785"
"2015","Ontario","Software engineers and designers","Job vacancies","90"
"2015","Ontario","Software engineers and designers","Job vacancies","110"
"2015","Ontario","Software engineers and designers","Job vacancies","95"
"2015","Ontario","Software engineers and designers","Job vacancies","230"
"2015","Ontario","Software engineers and designers","Job vacancies","80"
"2015","Ontario","Software engineers and designers","Job vacancies","165"
"2015","Ontario","Software engineers and designers","Job vacancies","815"
"2015","Ontario","Software engineers and designers","Job vacancies","665"
"2015","Ontario","Software engineers and designers","Job vacancies","570"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","5"
"2015","Ontario","Software engineers and designers","Job vacancies","40"
"2015","Ontario","Software engineers and designers","Job vacancies","40"
"2015","Ontario","Software engineers and designers","Job vacancies","510"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","60"
"2015","Ontario","Software engineers and designers","Job vacancies","755"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","25"
"2015","Ontario","Software engineers and designers","Job vacancies","155"
"2015","Ontario","Software engineers and designers","Job vacancies","175"
"2015","Ontario","Software engineers and designers","Job vacancies","35"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","85"
"2015","Ontario","Software engineers and designers","Job vacancies","100"
"2015","Ontario","Software engineers and designers","Job vacancies","105"
"2015","Ontario","Software engineers and designers","Job vacancies","165"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","800"
"2015","Ontario","Software engineers and designers","Job vacancies","15"
"2015","Ontario","Software engineers and designers","Job vacancies","810"
"2015","Ontario","Software engineers and designers","Job vacancies","480"
"2015","Ontario","Software engineers and designers","Job vacancies","495"
"2015","Ontario","Software engineers and designers","Job vacancies","570"
"2015","Ontario","Software engineers and designers","Job vacancies","360"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","1245"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","90"
"2015","Ontario","Software engineers and designers","Job vacancies","90"
"2015","Ontario","Software engineers and designers","Job vacancies","755"
"2015","Ontario","Software engineers and designers","Job vacancies","15"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","1170"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","190"
"2015","Ontario","Software engineers and designers","Job vacancies","105"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","160"
"2015","Ontario","Software engineers and designers","Job vacancies","210"
"2015","Ontario","Software engineers and designers","Job vacancies","55"
"2015","Ontario","Software engineers and designers","Job vacancies","90"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","1245"
"2015","Ontario","Software engineers and designers","Job vacancies","50"
"2015","Ontario","Software engineers and designers","Job vacancies","1295"
"2015","Ontario","Software engineers and designers","Job vacancies","1105"
"2015","Ontario","Software engineers and designers","Job vacancies","10"
"2015","Ontario","Software engineers and designers","Job vacancies","1045"
"2015","Ontario","Software engineers and designers","Job vacancies","1140"
"2015","Ontario","Software engineers and designers","Job vacancies","1080"
"2015","Ontario","Software engineers and designers","Job vacancies","115"
"2015","Ontario","Software engineers and designers","Job vacancies","95"
