Year,Month,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE
2015,04,Architects,Full-time,Average offered hourly wage,34.75
2015,04,Architects,Full-time,Average offered hourly wage,22.1
2015,04,Architects,Full-time,Average offered hourly wage,31.6
2015,04,Architects,Full-time,Average offered hourly wage,44.3
2015,07,Architects,Full-time,Average offered hourly wage,40.05
2015,07,Architects,Full-time,Average offered hourly wage,46.45
2015,07,Architects,Full-time,Average offered hourly wage,49.25
2015,07,Architects,Full-time,Average offered hourly wage,34.55
2015,10,Architects,Full-time,Average offered hourly wage,30.6
2015,10,Architects,Full-time,Average offered hourly wage,27.8
2015,10,Architects,Full-time,Average offered hourly wage,41.95
